Artist Name,NSFW Level,Top NSFW Tag 1,Top NSFW Tag 2,Top NSFW Tag 3,Image URL,futanari,tentacle penetration,feminization,chastity,mind control,machine sex,bimbofication,bondage,pegging,sissification,hypnosis,anal,inflation,oversized toy,oral sex,dominant female,machine,artist_count
incase,Ecchi,sissification,mind control,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/incase.jpg,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
personal ami,Hentai,machine sex,oral sex,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/personal%20ami.jpg,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,
aenaluck,Extreme,chastity,anal,bondage,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/aenaluck.jpg,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,
miyoshi yoshimi,Hentai,chastity,oversized toy,mind control,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/miyoshi%20yoshimi.jpg,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,
21yc (september breeze),Extreme,pegging,chastity,bondage,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/21yc%20%28september%20breeze%29.jpg,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
nai ga,Extreme,anal,inflation,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/nai%20ga.jpg,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,
147,Extreme,feminization,oral sex,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/147.jpg,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,
csyday,Hentai,oversized toy,chastity,inflation,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/csyday.jpg,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,
hungry clicker,Ecchi,chastity,inflation,pegging,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/hungry%20clicker.jpg,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
kawakami rokkaku,Hentai,machine sex,chastity,hypnosis,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/kawakami%20rokkaku.jpg,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,
kedama milk,Hentai,chastity,bondage,futanari,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/kedama%20milk.jpg,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
min (120716),Hentai,chastity,bimbofication,futanari,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/min%20%28120716%29.jpg,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
oogure ito,Hentai,hypnosis,chastity,feminization,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/oogure%20ito.jpg,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
pumpkinspicelatte,Ecchi,oversized toy,sissification,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/pumpkinspicelatte.jpg,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
013 (hamsasuke),Hentai,sissification,bondage,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/013%20%28hamsasuke%29.jpg,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,
13 (bbr584607091),Extreme,dominant female,oversized toy,chastity,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/13%20%28bbr584607091%29.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
13-gou,Hentai,chastity,futanari,oral sex,https://cdn.zele.st/data/NAX/Images/danbooru-artist-tags-v4.5/13-gou.jpg,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,
